Benjamin,Fri Jan 17 19:31:37 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,138,84,5,7387,False,15343,False,http://pbs.twimg.com/profile_images/1127160140161896448/NgZbeUzT_normal.jpg,
$ylver,Fri Jan 17 19:31:45 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,1154,976,5,40104,False,24759,False,http://pbs.twimg.com/profile_images/1214832062408089600/aT3kr5X3_normal.jpg,
Church of Baseball ⚾,Fri Jan 17 19:31:48 +0000 2020,Arrest the parents who didn't get their children flu shots.,Denmark,General,3580,3583,177,78033,False,99688,False,http://pbs.twimg.com/profile_images/1073109537/RedlegsObama_normal.png,
Negar Time,Fri Jan 17 19:32:08 +0000 2020,⚡️ECT is torture⚡️ https://t.co/uFVrGh8XTm,Sverige,Göteborg,863,3582,25,2313,False,11894,False,http://pbs.twimg.com/profile_images/1204322868068261888/nLSfFDxR_normal.jpg,
Van Davis,Fri Jan 17 19:32:16 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,1000,805,2,15738,False,10794,False,http://pbs.twimg.com/profile_images/1132832469181489152/JVcLfvZf_normal.jpg,
Alexus Chilcote,Fri Jan 17 19:32:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,384,177,2,1830,False,1564,False,http://pbs.twimg.com/profile_images/1213948886643023878/l4CNtVRo_normal.jpg,
Johnny Tavares,Fri Jan 17 19:32:19 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,239,291,0,8455,False,403,False,http://pbs.twimg.com/profile_images/1177076858782773253/lU8phCwV_normal.jpg,
yktfv,Fri Jan 17 19:32:20 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,116,443,1,6217,False,15287,False,http://pbs.twimg.com/profile_images/1212302908106129409/MtWuWaD__normal.jpg,
no_mames_wedo,Fri Jan 17 19:32:21 +0000 2020,@SethAaron03 Gravy so cold I think you need a flu shot.,Denmark,General,211,134,0,8295,False,724,False,http://pbs.twimg.com/profile_images/1199014484704137221/aOxsjmLx_normal.jpg,
🔑,Fri Jan 17 19:32:27 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Denmark,General,201,234,5,6387,False,32071,False,http://pbs.twimg.com/profile_images/1213731136678973440/d2F6r6EF_normal.jpg,
