NS,Fri Jan 17 19:30:50 +0000 2020,Homemade Cream meringues. These will no doubt be the death of me but so worth it when they taste this good 😋… https://t.co/HSaPDMqeW2,United Kingdom,Maidenhead,116,49,2,2712,False,6573,False,http://pbs.twimg.com/profile_images/1148874112401588224/KXbZxIoL_normal.jpg,
Irene,Fri Jan 17 19:30:51 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,England,General,186,173,0,15169,False,3462,False,http://pbs.twimg.com/profile_images/1118040363015344128/HGWaNCNp_normal.jpg,
Adrian Osborne 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🏳️‍🌈,Fri Jan 17 19:30:51 +0000 2020,@DebEvans66 Thank you Deb. I have shared via @PTHBhealth @BIAPiechyd 👍,United Kingdom,Wales,2825,2669,92,15433,False,18270,False,http://pbs.twimg.com/profile_images/1046104987904999424/aZMju6eE_normal.jpg,
John Short,Fri Jan 17 19:30:52 +0000 2020,@EBALLER2 @CIFC That's the attitude I like to hear!!,United Kingdom,Canvey Island,3281,5001,14,41134,False,41547,False,http://pbs.twimg.com/profile_images/1174251676779393024/vXV5Z8QP_normal.jpg,
David Martin,Fri Jan 17 19:30:52 +0000 2020,@BeerOClockShow @TheAleLady SORRY!,United Kingdom,Milton Keynes,1185,929,38,14498,False,46979,False,http://pbs.twimg.com/profile_images/1132932880659832832/L-5lFd5a_normal.jpg,
Grim Reaper 'It's always Halloween’,Fri Jan 17 19:30:52 +0000 2020,Ireland.😵If you've registered to vote in the past 8 months you may need to register again (via @thejournal_ie) https://t.co/UGxWMPIC7s,Ireland,Kilkenny,1875,2371,5,88393,False,28635,False,http://pbs.twimg.com/profile_images/856631952929148928/7qKGoUbp_normal.jpg,
steviethebrief,Fri Jan 17 19:30:52 +0000 2020,@murdo_fraser Vile wee bigot? I take it theres more than that one tweet?,United Kingdom,Scotland,391,473,14,12214,False,26805,False,http://pbs.twimg.com/profile_images/615626731228135428/8sRFsY9Y_normal.jpg,
Daisy Croker ⚽️,Fri Jan 17 19:30:53 +0000 2020,@CraigJacob21 @MKDonsFCWomen @MursleyUtdFC @BerksBucksFA Fingers crossed we’ll be ok 🤞🤞,United Kingdom,Milton Keynes,1328,4049,15,4455,False,18148,False,http://pbs.twimg.com/profile_images/1151605650167934976/LFBUpgrt_normal.jpg,
Laura Hextall,Fri Jan 17 19:30:53 +0000 2020,@garyyoung2000 @OxCityFC Hi Gary they are available to purchase on the turnstiles or from the club shop,United Kingdom,Abingdon,290,1014,3,9652,False,3315,False,http://pbs.twimg.com/profile_images/835597755707949057/6l0MUktv_normal.jpg,
Martin,Fri Jan 17 19:30:53 +0000 2020,Already booked my ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ hotel 😎,United Kingdom,Bishop's Stortford,1270,1215,15,2367,False,2585,False,http://pbs.twimg.com/profile_images/1129262680848707584/MsaNrTVA_normal.jpg,
