426.10™️,Fri Jan 17 19:27:32 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Spain,General,24,212,0,1766,False,1257,False,http://pbs.twimg.com/profile_images/1106369275701256192/zWneWog4_normal.jpg,
Leo Soldano,Fri Jan 17 19:27:34 +0000 2020,Service animal?  What service?  Can it speak in a language that does not sound like a word salad?,Portugal,Lisbon,240,844,2,1127,False,1331,False,http://pbs.twimg.com/profile_images/1095168786/Leo4_normal.jpg,
ric,Fri Jan 17 19:27:39 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Spain,General,207,231,2,8407,False,2450,False,http://pbs.twimg.com/profile_images/1201452042075684866/YBMlmrp1_normal.jpg,
SLIM,Fri Jan 17 19:27:46 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Spain,General,144,189,0,46476,False,28352,False,http://pbs.twimg.com/profile_images/1216546922233597954/DpmJhNHT_normal.jpg,
hailey 🇮🇱✨,Fri Jan 17 19:27:47 +0000 2020,@PmoneyFlo He really tried it,Portugal,Oporto,3304,913,12,53578,False,45287,False,http://pbs.twimg.com/profile_images/1213005000038866944/Kyq7E_EC_normal.jpg,
gersariel,Fri Jan 17 19:27:47 +0000 2020,As the World Faces One of the Worst Flu Outbreaks in Decades Scientists Eye a Universal Vaccine - Smithsonian Maga… https://t.co/JjvINlysGn,Spain,General,4637,4507,412,22438,False,124725,False,http://pbs.twimg.com/profile_images/824632359949631488/NGTCU8c__normal.jpg,
brenny bling,Fri Jan 17 19:27:53 +0000 2020,might fuck around and get a flu vaccine today,Spain,General,170,389,9,34436,False,9631,False,http://pbs.twimg.com/profile_images/1177456934858870789/W4oimn11_normal.jpg,
Jr.,Fri Jan 17 19:27:57 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Spain,General,90,84,0,1377,False,1340,False,http://pbs.twimg.com/profile_images/1215998186851930112/S-ILL-i5_normal.jpg,
Brian Sanchez,Fri Jan 17 19:27:59 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Spain,General,39,60,0,6975,False,3072,False,http://pbs.twimg.com/profile_images/767852453203173376/BRZohuLB_normal.jpg,
The Painted Kitchen,Fri Jan 17 19:28:01 +0000 2020,@MarkMcCarthy61 @HPK4UK @joebayleyspain Thanks Mark!,España,Torremolinos,887,652,15,9612,False,4984,False,http://pbs.twimg.com/profile_images/918368676033724416/GSnHWUay_normal.jpg,
