god bless,Fri Jan 17 19:28:52 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Switzerland,General,11,475,0,5260,False,2682,False,http://pbs.twimg.com/profile_images/1216454472425189377/phplMhmw_normal.jpg,
Holland Hospital,Fri Jan 17 19:28:53 +0000 2020,Watch @wzzm13 News at 6 to see Dr. Borenitsch and learn the latest on this year’s flu vaccine. Thank you… https://t.co/jxOFBc40aK,United States,Lakeshore Health Partners - Family Medicine South Washington,1856,1124,51,590,False,5188,False,http://pbs.twimg.com/profile_images/601459792259854336/tHrhtr1k_normal.jpg,
Doña 🍑,Fri Jan 17 19:28:58 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Switzerland,General,249,267,0,73067,False,21081,False,http://pbs.twimg.com/profile_images/1211366885733720064/zMFTtGFb_normal.jpg,
Inova Health,Fri Jan 17 19:29:00 +0000 2020,There's a mismatch in the flu shot - and it's not good news for children via @CNN https://t.co/z3pblVwetZ… https://t.co/sBf1GWQUeT,Switzerland,General,9922,578,409,3163,True,26054,False,http://pbs.twimg.com/profile_images/1110925361729208321/6tmIW6Km_normal.png,
adl0n,Fri Jan 17 19:29:00 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Switzerland,General,61,148,1,12839,False,45253,False,http://pbs.twimg.com/profile_images/1180478273001705472/KiaFVbdr_normal.jpg,
liam,Fri Jan 17 19:29:10 +0000 2020,free my bro flu shots he didn’t do nothin https://t.co/fJNnyZk32z,Switzerland,General,1150,495,1,9604,False,2119,False,http://pbs.twimg.com/profile_images/1176924234985197568/pbguBpp9_normal.jpg,
Mean 🍑,Fri Jan 17 19:29:20 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Switzerland,General,60,273,0,2757,False,2848,False,http://pbs.twimg.com/profile_images/1196545732515389441/IlUWB6Gg_normal.jpg,
Dominic Saldaña,Fri Jan 17 19:29:21 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Switzerland,General,920,855,5,14158,False,20427,False,http://pbs.twimg.com/profile_images/1042578045322723328/4OD3oCot_normal.jpg,
👼🏻DON CHEF TITO,Fri Jan 17 19:29:24 +0000 2020,RT @GaryPoleman: i don’t know who this “ flu shot “ nigga is but free him https://t.co/n1Yo8tKnPq,Switzerland,General,163,156,1,1857,False,2084,False,http://pbs.twimg.com/profile_images/1202166507653890048/Y8KvvY_e_normal.jpg,
Feminist Ologo Marlian,Fri Jan 17 19:29:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Switzerland,General,1143,1015,1,29885,False,21682,False,http://pbs.twimg.com/profile_images/1209222955189833728/jS0xnTqv_normal.jpg,
