29 Degrees🍂🧡,Fri Jan 17 19:43:06 +0000 2020,@rruudoo @raqszz @mikalmccoy1 I need a break 🥴,United States,Shreveport,439,553,0,15851,False,9161,False,http://pbs.twimg.com/profile_images/1195465434167824386/VbD2uSkc_normal.jpg,
JayR.♡,Fri Jan 17 19:43:06 +0000 2020,I’m getting drunk &amp; my lily is napping. This is a Good Friday ✨,United States,Arizona,694,395,0,15657,False,35501,False,http://pbs.twimg.com/profile_images/1218256907539890176/JF0J9HYR_normal.jpg,
Ginita,Fri Jan 17 19:43:07 +0000 2020,Texas isn’t ready 💪🏻🐅 https://t.co/Ysnnrnm2W4,United States,Florida,822,918,3,8266,False,6700,False,http://pbs.twimg.com/profile_images/1172582744955772930/JmMMZSsv_normal.jpg,
Jessie Anchondo,Fri Jan 17 19:43:07 +0000 2020,@JohnLPoppe @_smileemptysoul @SeanDanielsen Sounds like a plan,United States,Lakeland Heights,771,1194,4,5335,False,2929,False,http://pbs.twimg.com/profile_images/1210033687087263744/JMA6topN_normal.jpg,
David Berger 🏳️‍🌈,Fri Jan 17 19:43:07 +0000 2020,Hugs 🤗 and smooches 😘 - hope your day is going well! https://t.co/qtJnkhaow2,United States,Florida,3489,4362,109,42737,False,18658,False,http://pbs.twimg.com/profile_images/1211749817073971206/ARCLBL3u_normal.jpg,
ayymijackicita🇲🇽,Fri Jan 17 19:43:07 +0000 2020,NOBODY ABSOLUTELY NOBODY:My man:,United States,Ennis,591,594,0,12967,False,2004,False,http://pbs.twimg.com/profile_images/1178524796537262080/JHOd0hDc_normal.jpg,
jessica,Fri Jan 17 19:43:07 +0000 2020,My doctor appointment went well. All my numbers like cholesterol&amp;shit is good except my iron and vitamin D are real… https://t.co/xk84Q3gcDC,Mexico,General,94,186,4,5807,False,9039,False,http://pbs.twimg.com/profile_images/1194346920472387585/wmdIhSFr_normal.jpg,
Kristy Hymans,Fri Jan 17 19:43:07 +0000 2020,@The76KProject @FrugalPharm @TreadLightly_RE I have a ticket but might not be able to go FYI so if any of you want… https://t.co/xK0DqvfFzI,United States,Arizona,427,569,3,5326,False,1666,False,http://pbs.twimg.com/profile_images/1170343158313627650/C_5y_rY2_normal.jpg,
The Spirit Media Network,Fri Jan 17 19:43:08 +0000 2020,When they try to charge for you extra cheese on your cheese pizza.... https://t.co/OtKyvpZRGG,United States,Mississippi,9697,1600,42,14521,False,31140,False,http://pbs.twimg.com/profile_images/1214329009649209345/_SpDCIG0_normal.jpg,
Kody,Fri Jan 17 19:43:09 +0000 2020,Flu and strep why me.,United States,Gun Barrel City,877,1078,4,23581,False,16658,False,http://pbs.twimg.com/profile_images/1200105884082413569/e9IPPvgA_normal.jpg,
