Obi-Wan Kenobi,Fri Jan 17 19:37:17 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,1803,741,24,4560,False,127501,False,http://pbs.twimg.com/profile_images/1217120862438068224/a6wf8c80_normal.jpg,
𝓛𝓸𝓿𝓮𝓻,Fri Jan 17 19:37:19 +0000 2020,Idk how to feel right now,Venezuela,Maracaibo,201,178,0,4636,False,788,False,http://pbs.twimg.com/profile_images/1209333915959353345/pAB9wifO_normal.jpg,
🤡,Fri Jan 17 19:37:25 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,77,194,0,8612,False,52111,False,http://pbs.twimg.com/profile_images/1211221409407500288/HRImoPSq_normal.jpg,
Abraham Eduardo,Fri Jan 17 19:37:30 +0000 2020,[ House every weekend ]🎶 #house #dj #AAEBDJ #viernes en InterContinental Tamanaco Caracas https://t.co/fOcLlcDYRa,Venezuela,Nuestra Señora del Rosario de Baruta,88,284,1,2054,False,1982,False,http://pbs.twimg.com/profile_images/1215387742558834688/1HM2az8l_normal.jpg,
♥,Fri Jan 17 19:37:32 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,294,333,0,38489,False,11708,False,http://pbs.twimg.com/profile_images/1214778843308941313/l9yS0CbJ_normal.jpg,
K,Fri Jan 17 19:37:35 +0000 2020,@jimmime1 @med1cinewoman Flu shotMMA boosterRogam Healthy and thriving five year old with above average intelligence as a result.,Venezuela,General,1165,255,5,11175,False,4465,False,http://pbs.twimg.com/profile_images/1204522596592734209/GkSd_dFO_normal.jpg,
LauraH,Fri Jan 17 19:37:40 +0000 2020,RT @LabHaynes: Anyone can die from the #flu. Are you protected by the #fluvaccine?,Venezuela,General,6669,5944,29,135158,False,77265,False,http://pbs.twimg.com/profile_images/1093271681773244418/1HqrbgRK_normal.jpg,
ChaposDisciple,Fri Jan 17 19:37:57 +0000 2020,RT @xsqoof: I don’t know who this “flu shots“ mf is but free him https://t.co/qbgaiCaB3O,Venezuela,General,321,109,5,9329,False,22646,False,http://pbs.twimg.com/profile_images/1212507859679764480/bxzvhJkK_normal.jpg,
ጌ.,Fri Jan 17 19:38:04 +0000 2020,@Sonicj01 @BaileyNightsky9 @SamuelAdams89 @cateblandchett @tydedermody ok but if you haven’t seen germs in real lif… https://t.co/xd9gKbM3VG,Venezuela,General,540,516,1,3024,False,4471,False,http://pbs.twimg.com/profile_images/1217832676641603584/ZqmPgzy2_normal.jpg,
🍍 Josh | Manifesting Greatness | 6'5,Fri Jan 17 19:38:08 +0000 2020,This is the widest lense I've ever owned(apart from the fisheye). I'm fully excited.,Trinidad and Tobago,Trinidad and Tobago,2009,705,45,38624,False,101502,False,http://pbs.twimg.com/profile_images/1217858915280527361/PDF3bMIK_normal.jpg,
